manufacturer
AGAT
"APF Electronics, Inc."
Acorn Computers Ltd
Amstrad
Apple Computer
Apricot Computers
Aster Computers
Atari Corporation
"Atari, Inc."
Bally Consumer Products
Brasov Computer
Camputers
Coleco
Commodore
Comx World Operations
Comércio de Componentes Eletrônicos
Data Applications International
Didaktik
Dragon Data
Dubna
EACA
Elektronika
Elektronska Industrija Niš
Exidy
Franklin Computer Corporation
Fujitsu
GEM
Gradiente
Grundy Business Systems
Honeywell
IBM
Intelligent Software
Intelligent Systems Corporation
Interact
Intercompex
Iskra
Ivasim
Jupiter Cantab
Lambda Electronics
Luxor
Matra
Mattel
Memotech
Microbee Systems
Microdigital Eletronica
Miles Gordon Technology
Multitech
NEC
NEC Home Electronics
PEL Varaždin
Philips
Pravetz
Progeni Systems / Polycorp
Prológica
Rabbit
Radio Shack
Schneider Computer Division
Sega
Sharp
Sinclair Research
Sord Computer Corporation
Tangerine Computer Systems
Technosys
Tesla
Texas Instruments
Thomson
Timex Sinclair
Tomy
Tsinghua University
VEB Robotron
Vector
Videobrain
Videoton
Vtech
West Computer AS
Štátny majetok Závadka š.p.
